Order,Family,CommonName,Genus,Species,SubSpecies,SpecificLocation,Sex,M,Mref,K,Linf,GrowthRef,tmax,tmaxRef,Temp
Esociformes,Esocidae,northern pike,Esox,lucius,na,"Lake Windermere, England",f,0.3,"Kipling & Frost, 1970",0.24,1000,"Johnson, 1966",14,"Johnson, 1966",9
Cypriniformes,Cyprinidae,minnow,Phoxinus,phoxinus,na,"Lake Windermere, England",c,1.1,"Beverton & Holt, 1959",0.669,79.6,"*Frost, 1943",4,"Frost, 1943",9
Acipenseriformes,Acipenseridae,lake sturgeon,Acipenser,fulvescens,na,"Lake Winnebago, Wisconsin",c,0.093,"*Probst & Cooper, 1955",0.042,2009,"*Probst & Cooper, 1955",82,"Probst & Cooper, 1955",8
Perciformes,Ammodytidae,small sandeel,Ammodytes,tobianus,na,"Langstone Harbour, Hampshire, UK",c,1.1,"*Reay, 1973",0.77,160,"Reay, 1973",7,"Reay, 1973",11
Perciformes,Labridae,"paketi, spotty",Notolabrus,celidotus,na,"Leigh, New Zealand",c,0.55,"Jones, 1980",0.192,257.63,"*Jones, 1980",8,"Jones, 1980",12
Cypriniformes,Cyprinidae,,Ptychobarbus,dipogon,na,"Lhasa River, Tibet",c,0.11,"Li & Chen, 2009",0.1084,563.7,"Li & Chen, 2009",45,"Li & Chen, 2009",7.5
Perciformes,Gobiidae,decorated goby,Istigobius,decoratus,na,"Lizard Island, Australia",c,7.92,"Kritzer, 2002",,,,0.73,"Kritzer, 2002",27.5
Perciformes,Percidae,Eurasian perch,Perca,fluviatilis,na,"Loch Davan and Loch Kinord, Scotland",c,0.21,"Treasurer et al., 1992",0.2034,308,"Treasurer et al., 1992",17,"Treasurer et al., 1992",9
Perciformes,Scaridae,stoplight parrotfish,Sparisoma,viride,na,"Los Roques, Venezuela",c,0.274,"Choat et al., 2003",0.6,280.6,"Choat et al., 2003",9,"Choat et al., 2003",27.2
Perciformes,Serranidae,snowy grouper,Epinephelus,niveatus,na,lower Florida Keys,c,0.18,"Moore & Labisky, 1984",0.087,1320,"Moore & Labisky, 1984",27,"Moore & Labisky, 1984",22.5
Acipenseriformes,Acipenseridae,shovelnose sturgeon,Scaphirhynchus,platorynchus,na,lower Mississippi River,c,0.22,"Morrow et al., 1998",0.213,730,"Morrow et al., 1998",16,"Morrow et al., 1998",14
Cyprinodontiformes,Poeciliidae,eastern mosquitofish,Gambusia,holbrooki,na,"lower Mondego River Valley, Portugal",f,2.723,"Cabral & Marques, 1999",0.675,48.5,"Cabral & Marques, 1999",1.4,"Cabral & Marques, 1999",18.4
Perciformes,Serranidae,red hind,Epinephelus,guttatus,na,"Luis Pena Channel Marine Fishery Reserve, Puerto Rico",c,0.2,"Lopez-Rivera & Sabat, 2009",0.101,514.5,"Sadovy et al.,1992",18,"Sadovy et al.,1992",27.75
Perciformes,Labridae,rainbow wrasse,Coris,julis,na,"Medas Island Marine Reserve, Mediterranean Sea",c,1.58,"Macpherson et al., 2000",0.107,271.5,"Gordoa et al., 2000",8,"Gordoa et al., 2000",18
Perciformes,Sparidae,,Diplodus,annularis,na,"Medas Island Marine Reserve, Mediterranean Sea",c,0.49,"Macpherson et al., 2000",0.544,203.7,"Gordoa & Molí, 1997",7,"Gordoa & Molí, 1997",18
Perciformes,Sparidae,,Diplodus,sargus,na,"Medas Island Marine Reserve, Mediterranean Sea",c,1.33,"Macpherson et al., 2000",0.245,417,"Gordoa & Molí, 1997",10,"Gordoa & Molí, 1997",18
Perciformes,Serranidae,comber,Serranus,cabrilla,na,"Medas Island Marine Reserve, Mediterranean Sea",c,0.68,"Macpherson et al., 2000",,,,7,"Macpherson et al., 2000",18
Perciformes,Labridae,five-spotted wrasse,Symphodus,roissali,na,"Medas Island Marine Reserve, Mediterranean Sea",c,1.71,"Macpherson et al., 2000",0.346,165.3,"Gordoa et al., 2000",3,"Gordoa et al., 2000",18
Perciformes,Blenniidae,shanny,Lipophrys,pholis,na,"Menai Straits, English Channel",c,0.79,"*Qasim, 1957",0.3,170,"Beverton & Holt, 1959",6,"Qasim, 1957",17
Perciformes,Sparidae,westcoast steenbras,Lithognathus,aureti,na,"Meob Bay area, Namibia",c,0.35,"Beyer et al., 1999",0.083,700,"Beyer et al., 1999",28,"Beyer et al., 1999",16.6
Perciformes,Centrarchidae,pumpkinseed,Lepomis,gibbosus,na,"Mid Lake, Wisconsin",c,0.54,"Goedde & Coble, 1981",,,,10,"Goedde & Coble, 1981",15.5
Perciformes,Percidae,yellow perch,Perca,flavescens,na,"Mid Lake, Wisconsin",c,1.17,"Goedde & Coble, 1981",0.332,280.5,"Jackson et al., 2008",10,"Goedde & Coble, 1981",15.5
Perciformes,Labridae,peacock wrasse,Symphodus,tinca,na,middle eastern Adriatic,c,0.25,"Pallaoro & Jardas, 2003",0.214,422.4,"Pallaoro & Jardas, 2003",13,"Pallaoro & Jardas, 2003",16
Cypriniformes,Cyprinidae,common carp,Cyprinus,carpio,na,"mid-Murray River and Barmah Forest Wetlands, Australia",c,0.303,"Brown et al., 2005",0.236,515,"Brown et al., 2005",27,"Brown et al., 2005",17.1
Pleuronectiformes,Pleuronectidae,Pacific halibut,Hippoglossus,stenolepis,na,North Pacific and the Bering Sea,c,0.198,"Chen & Xiao, 2006",0.079,1345,"Martell et al., 2013",55,"Forsberg, 2001",5
Scorpaeniformes,Scorpaenidae,yellowtail rockfish,Sebastes,flavidus,na,"Queen Charlotte Sound, Canada",c,0.07,"Leaman & Nagtegaal, 1987",0.186,486,"Archibald et al., 1981",53,"Leaman & Nagtegaal, 1987",8.5
